identifier	question
homer-odyssey_14	Why should a man like you go about telling lies in this way?
homer-odyssey_07	Did you not say you had come here from beyond the sea?"
homer-odyssey_07	She stood right in front of him, and Ulysses said:"My dear, will you be so kind as to show me the house of king Alcinous?
homer-odyssey_07	Who, and whence are you, and who gave you those clothes?
homer-odyssey_12	"''Is there no way,''said I,''of escaping Charybdis, and at the same time keeping Scylla off when she is trying to harm my men?''
homer-odyssey_12	Why should not we drive in the best of these cows and offer them in sacrifice to the immortal gods?
homer-iliad_12	Then he said to Glaucus son of Hippolochus,"Glaucus, why in Lycia do we receive especial honour as regards our place at table?
homer-iliad_12	Then he turned round and shouted to the brave Lycians saying,"Lycians, why do you thus fail me?
homer-iliad_12	What care I whether they fly towards dawn or dark, and whether they be on my right hand or on my left?
homer-iliad_12	Why are the choicest portions served us and our cups kept brimming, and why do men look up to us as though we were gods?
homer-iliad_12	Why are you so fearful?
homer-iliad_19	What could I do?
homer-iliad_19	Who can either hear or speak in an uproar?
homer-iliad_19	Would you have men eat while the bodies of those whom Hector son of Priam slew are still lying mangled upon the plain?
homer-iliad_23	And Achilles answered,"Why, true heart, are you come hither to lay these charges upon me?
homer-iliad_23	Antilochus,"said he,"what is this from you who have been so far blameless?
homer-iliad_23	He stood up and said among the Argives,"My friends, princes and counsellors of the Argives, can you see the running as well as I can?
homer-iliad_23	Is it not enough that I should fall short of you in actual fighting?
homer-iliad_23	Why, my good fellows, are you lagging?
homer-iliad_07	"What would you have,"said he,"daughter of great Jove, that your proud spirit has sent you hither from Olympus?
homer-iliad_07	Have you no pity upon the Trojans, and would you incline the scales of victory in favour of the Danaans?
homer-iliad_07	How would it not grieve him could he hear of them as now quailing before Hector?
homer-iliad_07	Jove was displeased and answered,"What, O shaker of the earth, are you talking about?
homer-iliad_07	See you not how the Achaeans have built a wall about their ships and driven a trench all round it, without offering hecatombs to the gods?
homer-iliad_07	Tell me, then, how do you propose to end this present fighting?"
homer-odyssey_22	But Agelaus shouted out,"Can not some one go up to the trap door and tell the people what is going on?
homer-odyssey_22	But Ulysses glared at them and said:"Dogs, did you think that I should not come back from Troy?
homer-odyssey_22	He had no thought of death — who amongst all the revellers would think that one man, however brave, would stand alone among so many and kill him?
homer-odyssey_22	How comes it that you are so lamentably less valiant now that you are on your own ground, face to face with the suitors in your own house?
homer-iliad_09	"Tell me, Ulysses,"said he,"will he save the ships from burning, or did he refuse, and is he still furious?"
homer-iliad_09	Are the sons of Atreus the only men in the world who love their wives?
homer-iliad_09	Sir, think you that the sons of the Achaeans are indeed as unwarlike and cowardly as you say they are?
homer-iliad_09	Was it not for the sake of Helen?
homer-iliad_09	What made the son of Atreus gather the host and bring them?
homer-iliad_09	Who can be other than dismayed?
homer-iliad_09	Why, pray, must the Argives needs fight the Trojans?
homer-iliad_06	"Who, my good sir,"said he,"who are you among men?
homer-iliad_06	And the son of Hippolochus answered,"Son of Tydeus, why ask me of my lineage?
homer-iliad_06	Are the Achaeans, woe betide them, pressing you hard about the city that you have thought fit to come and uplift your hands to Jove from the citadel?
homer-iliad_06	Has, then, your house fared so well at the hands of the Trojans?
homer-iliad_06	She took his hand within her own and said,"My son, why have you left the battle to come hither?
homer-iliad_06	Was it to my sisters, or to my brothers''wives?
homer-iliad_06	or is she at the temple of Minerva where the other women are propitiating the awful goddess?"
homer-odyssey_08	Did you lose some brave kinsman of your wife''s when you were before Troy?
homer-odyssey_08	Ulysses answered,"Laodamas, why do you taunt me in this way?
homer-odyssey_08	Where have you been wandering, and in what countries have you travelled?
homer-odyssey_08	a son- in- law or father- in- law — which are the nearest relations a man has outside his own flesh and blood?
homer-odyssey_08	or was it some brave and kindly- natured comrade — for a good friend is as dear to a man as his own brother?"
homer-odyssey_23	"My dear,"answered Ulysses,"why should you press me to tell you?
homer-odyssey_23	Then nurse Euryclea said,"My child, what are you talking about?
homer-odyssey_23	Who has been taking my bed from the place in which I left it?
homer-odyssey_23	Why do you not sit by his side and begin talking to him and asking him questions?
homer-odyssey_05	"Alas,"he cried to himself in his dismay,"what ever will become of me, and how is it all to end?
homer-odyssey_05	"My poor good man,"said she,"why is Neptune so furiously angry with you?
homer-odyssey_05	"What, my dear, are you talking about?"
homer-odyssey_05	Alas,"he said to himself in his dismay,"what ever will become of me?
homer-odyssey_05	Calypso gave Mercury a seat and said:"Why have you come to see me, Mercury — honoured, and ever welcome — for you do not visit me often?
homer-odyssey_05	replied her father,"did you not send him there yourself, because you thought it would help Ulysses to get home and punish the suitors?
homer-odyssey_02	Has he got wind of some host approaching, and does he wish to warn us, or would he speak upon some other matter of public moment?
homer-odyssey_02	Leiocritus, son of Evenor, answered him saying,"Mentor, what folly is all this, that you should set the people to stay us?
homer-odyssey_02	Or will he go to Ephyra as well, for poison to put in our wine and kill us?"
homer-odyssey_02	Telemachus answered,"Antinous, how can I drive the mother who bore me from my father''s house?
homer-odyssey_02	Was it not enough that you should waste so much good property of mine while I was yet a boy?
homer-odyssey_02	When Euryclea heard this she began to cry, and spoke fondly to him, saying,"My dear child, what ever can have put such notion as that into your head?
homer-odyssey_02	Where in the world do you want to go to — you, who are the one hope of the house?
homer-iliad_03	And now can you not dare face Menelaus and learn what manner of man he is whose wife you have stolen?
homer-iliad_03	Are you going to send me afield still further to some man whom you have taken up in Phrygia or fair Meonia?
homer-iliad_03	Did you not, such as you are, get your following together and sail beyond the seas?
homer-iliad_03	Priam then caught sight of Ajax and asked,"Who is that great and goodly warrior whose head and broad shoulders tower above the rest of the Argives?"
homer-iliad_03	Tell me, then, who is yonder huge hero so great and goodly?
homer-iliad_03	Where indeed would be your lyre and your love- tricks, your comely locks and your fair favour, when you were lying in the dust before him?
homer-iliad_03	Will not the Achaeans mock at us and say that we have sent one to champion us who is fair to see but who has neither wit nor courage?
homer-iliad_17	As for the others that came into the fight after these, who of his own self could name them?
homer-iliad_17	In his likeness, then, Apollo said,"Aeneas, can you not manage, even though heaven be against us, to save high Ilius?
homer-iliad_17	Was it that you might share the sorrows that befall mankind?
homer-iliad_17	What then will be our best plan both as regards rescuing the dead, and our own escape from death amid the battle- cries of the Trojans?"
homer-iliad_17	Why, however, should I thus hesitate?
homer-iliad_17	what shall I do?
homer-odyssey_06	"Alas,"said he to himself,"what kind of people have I come amongst?
homer-odyssey_06	"O queen,"he said,"I implore your aid — but tell me, are you a goddess or are you a mortal woman?
homer-odyssey_06	Are they cruel, savage, and uncivilised, or hospitable and humane?
homer-odyssey_06	Can you not see a man without running away from him?
homer-odyssey_06	Do you take him for a robber or a murderer?
homer-odyssey_06	She stopped him and said:"Papa dear, could you manage to let me have a good big waggon?
homer-odyssey_06	Where did she find him?
homer-odyssey_15	"The man who had seduced her then said,''Would you like to come along with us to see the house of your parents and your parents themselves?
homer-odyssey_15	Are they still living or are they already dead and in the house of Hades?"
homer-odyssey_15	Heaven help me,"he exclaimed,"what ever can have put such a notion as that into your head?
homer-odyssey_15	Then Theoclymenus said,"And what, my dear young friend, is to become of me?
homer-odyssey_15	To whose house, among all your chief men, am I to repair?
homer-odyssey_15	Who and whence are you?
homer-odyssey_15	or shall I go straight to your own house and to your mother?"
homer-iliad_22	Alas, my son,"she cried,"what have I left to live for now that you are no more?
homer-iliad_22	Have you not yet found out that it is a god whom you pursue so furiously?
homer-iliad_22	Then Minerva said,"Father, wielder of the lightning, lord of cloud and storm, what mean you?
homer-iliad_22	Then Phoebus Apollo spoke to the son of Peleus saying,"Why, son of Peleus, do you, who are but man, give chase to me who am immortal?
homer-iliad_22	What say you?
homer-iliad_22	What, again, if I were to lay down my shield and helmet, lean my spear against the wall and go straight up to noble Achilles?
homer-iliad_22	Would you pluck this mortal whose doom has long been decreed out of the jaws of death?
homer-iliad_02	"Agamemnon,"he cried,"what ails you now, and what more do you want?
homer-iliad_02	How dare you gibe at Agamemnon because the Danaans have awarded him so many prizes?
homer-iliad_02	Shall our counsels be flung into the fire, with our drink- offerings and the right hands of fellowship wherein we have put our trust?
homer-iliad_02	Where are our covenants now, and where the oaths that we have taken?
homer-iliad_02	Who, then, O Muse, was the foremost, whether man or horse, among those that followed after the sons of Atreus?
homer-iliad_02	Why, Achaeans,''said he,''are you thus speechless?
homer-iliad_02	Will you leave Priam and the Trojans the glory of still keeping Helen, for whose sake so many of the Achaeans have died at Troy, far from their homes?
homer-iliad_02	Would you have yet more gold, which some Trojan is to give you as a ransom for his son, when I or another Achaean has taken him prisoner?
homer-iliad_02	or is it some young girl to hide and lie with?
homer-odyssey_19	"Madam,"answered Ulysses,"who on the face of the whole earth can dare to chide with you?
homer-odyssey_19	"My child,"answered Euryclea,"what are you talking about?
homer-odyssey_19	"This dream, Madam,"replied Ulysses,"can admit but of one interpretation, for had not Ulysses himself told you how it shall be fulfilled?
homer-odyssey_19	But who is to go with you and light you to the store- room?
homer-odyssey_19	Ulysses scowled at her and answered,"My good woman, why should you be so angry with me?
homer-iliad_05	"Sarpedon,"said he,"councillor of the Lycians, why should you come skulking here you who are a man of peace?
homer-iliad_05	Father Jove,"said she,"are you not angry with Mars for these high doings?
homer-iliad_05	He showed Jove the immortal blood that was flowing from his wound, and spoke piteously, saying,"Father Jove, are you not angered by such doings?
homer-iliad_05	Hector,"said he,"where is your prowess now?
homer-iliad_05	Sons of Priam,"said he,"how long will you let your people be thus slaughtered by the Achaeans?
homer-iliad_05	Then he said to his men,"My friends, how can we wonder that Hector wields the spear so well?
homer-iliad_05	Who, then, was first and who last to be slain by Mars and Hector?
homer-iliad_05	Would you wait till they are at the walls of Troy?
homer-iliad_04	Dread son of Saturn,"said she,"what, pray, is the meaning of all this?
homer-iliad_04	How can you say that we are slack?
homer-iliad_04	Jove was angry and answered,"My dear, what harm have Priam and his sons done you that you are so hotly bent on sacking the city of Ilius?
homer-iliad_04	Son of Tydeus,"he said,"why stand you cowering here upon the brink of battle?
homer-iliad_04	This shall surely be; but how, Menelaus, shall I mourn you, if it be your lot now to die?
homer-iliad_04	Ulysses glared at him and answered,"Son of Atreus, what are you talking about?
homer-iliad_04	We must consider what we shall do about all this; shall we set them fighting anew or make peace between them?
homer-iliad_04	Will nothing do for you but you must within their walls and eat Priam raw, with his sons and all the other Trojans to boot?
homer-iliad_13	"Paris,"said he,"evil- hearted Paris, fair to see but woman- mad and false of tongue, where are Deiphobus and King Helenus?
homer-iliad_13	"Son of Deucalion,"said he,"where would you have us begin fighting?
homer-iliad_13	Alexandrus answered,"Hector, why find fault when there is no one to find fault with?
homer-iliad_13	Are you wounded, and is the point of the weapon hurting you?
homer-iliad_13	Idomeneus,"said he,"lawgiver to the Cretans, what has now become of the threats with which the sons of the Achaeans used to threaten the Trojans?"
homer-iliad_13	On the right wing of the host, in the centre, or on the left wing, where I take it the Achaeans will be weakest?"
homer-iliad_13	Sir,"he cried,"draw near; why do you think thus vainly to dismay the Argives?
homer-iliad_13	Where are Adamas son of Asius, and Asius son of Hyrtacus?
homer-iliad_13	Where too is Othryoneus?
homer-iliad_13	or have you been sent to fetch me?
homer-iliad_14	And Juno said,"Sleep, why do you take such notions as those into your head?
homer-iliad_14	Do you think Jove will be as anxious to help the Trojans, as he was about his own son?
homer-iliad_14	He went up to her and said,"What do you want that you have come hither from Olympus — and that too with neither chariot nor horses to convey you?"
homer-iliad_14	Is it thus that you would quit the city of Troy, to win which we have suffered so much hardship?
homer-iliad_14	Most dread son of Saturn,"she exclaimed,"what are you talking about?
homer-iliad_14	Then King Agamemnon said to him,"Nestor son of Neleus, honour to the Achaean name, why have you left the battle to come hither?
homer-iliad_14	Ulysses looked fiercely at him and said,"Son of Atreus, what are you talking about?
homer-iliad_14	What if one of the ever- living gods should see us sleeping together, and tell the others?
homer-iliad_14	Would you have us enjoy one another here on the top of Mount Ida, where everything can be seen?
homer-odyssey_21	"You country louts,"said he,"silly simpletons; why should you add to the sorrows of your mistress by crying in this way?
homer-odyssey_21	Are you out of your wits?
homer-odyssey_21	Say which you are disposed to do — to side with the suitors, or with Ulysses?"
homer-odyssey_21	Shall, then, this bow take the life of many a chief among us, merely because you can not bend it yourself?
homer-odyssey_21	Then he took his seat again on the seat from which he had risen; and Antinous rebuked him saying:"Leiodes, what are you talking about?
homer-odyssey_21	Today is the feast of Apollo throughout all the land; who can string a bow on such a day as this?
homer-odyssey_21	What manner of men would you be to stand by Ulysses, if some god should bring him back here all of a sudden?
homer-odyssey_21	Why then should you mind if men talk as you think they will?
homer-odyssey_21	You know this as well as I do; what need have I to speak in praise of my mother?
homer-odyssey_20	"Who, Swineherd,"said he,"is this stranger that is lately come here?
homer-odyssey_20	Am I not a goddess, and have I not protected you throughout in all your troubles?
homer-odyssey_20	Are you still here, stranger,"said he,"to pester people by begging about the house?
homer-odyssey_20	Is he one of your men?
homer-odyssey_20	Theoclymenus saw this and said,"Unhappy men, what is it that ails you?
homer-odyssey_20	What is his family?
homer-odyssey_20	Where does he come from?
homer-odyssey_20	Why can you not go elsewhere?
homer-odyssey_20	You beg without any sense of decency: are there not feasts elsewhere among the Achaeans, as well as here?"
homer-odyssey_09	Are you traders, or do you sail the sea as rovers, with your hands against every man, and every man''s hand against you?''
homer-odyssey_09	Surely no man is carrying off your sheep?
homer-odyssey_09	Surely no man is trying to kill you either by fraud or by force?''
homer-odyssey_09	Talk to me, indeed, about fearing the gods or shunning their anger?
homer-odyssey_09	Was it round the point, or is she lying straight off the land?''
homer-odyssey_09	When he had got through with all his work, he lit the fire, and then caught sight of us, whereon he said:"''Strangers, who are you?
homer-odyssey_09	Where do sail from?
homer-odyssey_09	You ought to be ashamed of yourself; how can you expect people to come see you any more if you treat them in this way?''
homer-odyssey_09	You wretch, eat up your visitors in your own house?
homer-odyssey_10	"And I answered,''Circe, how can you expect me to be friendly with you when you have just been turning all my men into pigs?
homer-odyssey_10	How can it be that my drugs have no power to charm you?
homer-odyssey_10	Is it that you are still suspicious?
homer-odyssey_10	She passed through the midst of us without our knowing it, for who can see the comings and goings of a god, if the god does not wish to be seen?
homer-odyssey_10	They were astounded when they saw us and said,''Ulysses, what brings you here?
homer-odyssey_10	What god has been ill- treating you?
homer-odyssey_10	You surely do not fancy that you can set them free?
homer-odyssey_10	from what place and people have you come?
homer-iliad_16	"Shame on you, where are you flying to?
homer-iliad_16	Achilles was deeply moved and answered,"What, noble Patroclus, are you saying?
homer-iliad_16	And Juno answered,"Most dread son of Saturn, what is this that you are saying?
homer-iliad_16	Dead though he was, Hector still spoke to him saying,"Patroclus, why should you thus foretell my doom?
homer-iliad_16	Have you anything to say to the Myrmidons or to myself?
homer-iliad_16	Who in future story will speak well of you unless you now save the Argives from ruin?
homer-iliad_16	Who knows but Achilles, son of lovely Thetis, may be smitten by my spear and die before me?"
homer-iliad_16	Who then first, and who last, was slain by you, O Patroclus, when the gods had now called you to meet your doom?
homer-iliad_16	Would you snatch a mortal man, whose doom has long been fated, out of the jaws of death?
homer-iliad_16	or have you had news from Phthia which you alone know?
homer-iliad_11	"Hero Eurypylus,"replied the brave son of Menoetius,"how may these things be?
homer-iliad_11	Alas,"said he to himself in his dismay,"what will become of me?
homer-iliad_11	And Nestor answered,"Why should Achilles care to know how many of the Achaeans may be wounded?
homer-iliad_11	But why talk to myself in this way?
homer-iliad_11	My good friend, did not Menoetius charge you thus, on the day when he sent you from Phthia to Agamemnon?
homer-iliad_11	Say, noble Eurypylus, will the Achaeans be able to hold great Hector in check, or will they fall now before his spear?"
homer-iliad_11	Tell me now ye Muses that dwell in the mansions of Olympus, who, whether of the Trojans or of their allies, was first to face Agamemnon?
homer-iliad_11	What can I do?
homer-iliad_11	What do you want with me?"
homer-iliad_11	What, then is the full tale of those whom Hector son of Priam killed in the hour of triumph which Jove then vouchsafed him?
homer-iliad_11	Why,"said he,"Achilles, do you call me?
homer-iliad_11	Will he wait till the ships, do what we may, are in a blaze, and we perish one upon the other?
homer-odyssey_03	"But how, Mentor,"replied Telemachus,"dare I go up to Nestor, and how am I to address him?
homer-odyssey_03	And how came false Aegisthus to kill so far better a man than himself?
homer-odyssey_03	Are you traders?
homer-odyssey_03	But we suffered much more than this; what mortal tongue indeed could tell the whole story?
homer-odyssey_03	Do you submit to this tamely, or are public feeling and the voice of heaven against you?
homer-odyssey_03	On this Minerva said,"Telemachus, what are you talking about?
homer-odyssey_03	Tell me, therefore, Nestor, and tell me true; how did Agamemnon come to die in that way?
